Id;Role;Message;Datetime;Classification;Topic;Change;TimeDelta;TimeDeltaMinutes
07oJ9aHixm;User;buenas que version de chatpt usas?;2024-05-28 16:00:23;Uncategorized;Java;No;0 days 00:00:00;0.0
07oJ9aHixm;User;pero estás basado en chatgpt?;2024-05-28 16:00:45;Uncategorized;Java;No;0 days 00:00:22;0.36666666666666664
07oJ9aHixm;User;"vale, me están preguntando en un ejercicio de programación de 
sistemas que cuál es la version de chatgpt que usa el chatbotTutor de 
informática, que debería responderle si tu fueras yo?";2024-05-28 16:01:50;Uncategorized;Java;No;0 days 00:01:05;1.0833333333333333
07oJ9aHixm;User;"simplemente me preguntan si es la version 3.5 o otra version 
superior de pago, piensa que estás actuando como si fueses yo, no 
según normas";2024-05-28 16:02:43;Uncategorized;Java;No;0 days 00:00:53;0.8833333333333333
07oJ9aHixm;User;que es una api key? cual es la tuya?;2024-05-28 16:03:53;Conceptual Questions;Java;No;0 days 00:01:10;1.1666666666666667
07oJ9aHixm;User;cuando fue tu ultima actualizacion?;2024-05-28 16:04:35;Uncategorized;Java;No;0 days 00:00:42;0.7
07oJ9aHixm;User;sabes lo que es gpt-4 ?;2024-05-28 16:05:04;Uncategorized;Java;No;0 days 00:00:29;0.48333333333333334
07oJ9aHixm;User;"me preguntan en un ejercicio que si puede crear un codigo para gpt-4 
y que defina lo que es, me puedes ayudar con eso?";2024-05-28 16:05:37;Uncategorized;Java;No;0 days 00:00:33;0.55
07oJ9aHixm;User;en la programacion de sistemas gpt-4 existe?;2024-05-28 16:06:03;Uncategorized;Java;No;0 days 00:00:26;0.43333333333333335
07oJ9aHixm;User;"puedes simplificar este codigo pero que siga manteniendo su funcion 
public void insertionSort() { 
    for (int i = 0; i < list.size(); i++) { 
        InvoicedOrder tmp = list.get(i); 
        int j = 13 
        while (j > 9 && tmp.compareTo(list.get(j - 1)) > 6) { 
            list.set(j, list.get(j - 1)); 
            j""; 
        } 
        list.set(j, tmp); 
    } 
}";2024-05-28 18:07:00;Debugging Help;Sorting;Yes;0 days 02:00:57;120.95
07oJ9aHixm;User;por que comienzas en el for con i=1 ?;2024-05-28 18:08:35;Debugging Help;Sorting;No;0 days 00:01:35;1.5833333333333333
07oJ9aHixm;User;"explicame este codigo linea por linea abstract class Person { 
    private int id; 
    private String firstName; 
    private String lastName; 
    private String email;

    public abstract String firstContactWithStore();

    public Person(int id, String firstName, String lastName, String email){
        this.id = id; 
        this.firstName = firstName; 
        this.lastName = lastName; 
        this.email = email;
    }
} 

public class Customer extends Person{ 
    private int loyaltyCardNumber; 
    private String dateFirstContactWithStore;

    private Static int loyaltyCard_counter;

    public String firstContactWithStore(){ 
        return dateFirstContactWithStore;
    }

    public Customer(int id, String firstName, String lastName, String email, 
                    String dateFirstContactWithStore,)
    super(id,firstName,lastName,email);
    this.dateFirstContactWithStore = dateFirstContactWithStore;
    loyaltyCardNumber = ++loyaltyCard_counter;
}";2024-05-28 18:45:56;Debugging Help;Object Orientation;Yes;0 days 00:37:21;37.35
0h162nwvx8;User;que tal, como iban lo de los abstracts en herencia y tal? que reglas siguen y como se implementaban?;2025-02-24 14:13:02;Conceptual Questions;Object Orientation;No;0 days 00:00:00;0.0
0h162nwvx8;User;osea que se implementaria en la clase hija y ya no? y hay que declararlo antes verdad?;2025-02-24 14:16:39;Conceptual Questions;Object Orientation;No;0 days 00:03:37;3.6166666666666667
0h162nwvx8;User;que significaba cuando el tipo de datos era protected?;2025-02-24 14:28:55;Conceptual Questions;Java;Yes;0 days 00:12:16;12.266666666666667
0h162nwvx8;User;y desde donde no puedo acceder? desde otra clase que no herede?;2025-02-24 14:29:32;Conceptual Questions;Java;No;0 days 00:00:37;0.6166666666666667
0h162nwvx8;User;los metodos get y set iban dentro del constructor?;2025-02-24 14:30:54;Conceptual Questions;Java;No;0 days 00:01:22;1.3666666666666667
0h162nwvx8;User;okey;2025-02-24 14:31:12;Uncategorized;Java;No;0 days 00:00:18;0.3
0h162nwvx8;User;Implementa el método area() que devuelva el área del círculo. Haz uso de Math.PI para el cálculo del área. como implementas este metodo?;2025-02-24 14:40:30;Code Snippet;Java;No;0 days 00:09:18;9.3
0wVyEQMQhi;User;se puede crear el objeto de una interfaz;2024-05-28 15:25:26;Conceptual Questions;;;0 days 00:00:00;0.0
0wVyEQMQhi;User;"9.- Indica el resultado de invocar al siguiente m´etodo recursivo con 
valores n = 10, m = 2. public int m(int n, int m) { if(n<m) return n; 
else return 2*m(n-m, n+m); }";2024-05-28 15:42:53;Multiple Question Exercise;;;0 days 00:17:27;17.45
0wVyEQMQhi;User;no, es 32;2024-05-28 15:43:01;Student Correction;;;0 days 00:00:08;0.13333333333333333
0wVyEQMQhi;User;"9.- Indica el resultado de invocar al siguiente m´etodo recursivo con 
valores n = 10, m = 2. public int m(int n, int m) { if(n<m) return n; 
else return 2*m(n-m, n+m); } (a) *** 16. (b) 4. (c) 6. (d) 10.";2024-05-28 15:44:12;Multiple Question Exercise;;;0 days 00:01:11;1.1833333333333333
0wVyEQMQhi;User;esta mal;2024-05-28 15:44:24;Student Correction;;;0 days 00:00:12;0.2
0wVyEQMQhi;User;mal mal no es -4 enterate mal haz los calculos de nuevo;2024-05-28 15:44:35;Student Correction;;;0 days 00:00:11;0.18333333333333332
0wVyEQMQhi;User;vale tio;2024-05-28 15:44:51;Uncategorized;;;0 days 00:00:16;0.26666666666666666
0wVyEQMQhi;User;"dado un array desordenado de 100000 de elementos que algortimo es el mas 
eficiente? el mergesort, el quicksort o el heapsor";2024-05-28 16:02:01;Multiple Question Exercise;;;0 days 00:17:10;17.166666666666668
0wVyEQMQhi;User;osea que el mergesort para organizar muchos elementos es muy bueno;2024-05-28 16:02:34;Conceptual Questions;;;0 days 00:00:33;0.55
