Id;Role;Message;Datetime;Classification;Topic;Change
zDA0vG61KVAIG4y;User;"Dado el array data = f0, 1, 2, 3g, >cu´al es el valor de data tras terminar la ejecuci´on del siguiente m´etodo? 
public void mystery(int[] data) { 
    if(data.length>=2) { 
        for(int i=data.length; i>0; i--) 
            data[i] = data[i]*data[i-1]; 
    } 
} 
(a) El m´etodo lanza una excepci´on del tipo ArrayIndexOutOfBoundsException. 
(b) f0, 0, 2, 6g. 
(c) f0, 2, 6, 3g. 
(d) f0, 1, 2, 6g";14:14:36 - 21/06/2024;Multiple Question Exercise;Java;No
zDA0vG61KVAIG4y;semantic_search;;14:14:36 - 21/06/2024;;;
zDA0vG61KVAIG4y;CharlieBOT;El valor de data tras terminar la ejecución del método será: (d) f0, 1, 2, 6g El método recorre el array de derecha a izquierda multiplicando cada elemento por el elemento anterior, por lo que el resultado final será f0, 1, 2, 6g. Si tienes alguna otra pregunta no dudes en preguntar.;14:14:37 - 21/06/2024;;;
zDA0vG61KVAIG4y;User;"Dada la clase Vehicle (veh´ıculo) con el m´etodo public abstract int getMaxSpeed() que devuelve su velocidad m´axima, indica cu´al de las siguientes afirmaciones es INCORRECTA: 
(a) El resto de m´etodos de la clase Vehicle tambi´en tienen que ser abstractos. 
(b) Las clases derivadas de Vehicle pueden ser o no ser abstractas. 
(c) S´olo se podr´a crear un objeto de una clase derivada si esa clase implementa el m´etodo getMaxSpeed(). 
(d) Aunque sea abstracta, Vehicle puede tener uno o varios constructores";14:15:18 - 21/06/2024;Multiple Question Exercise;Object Orientation;Yes
zDA0vG61KVAIG4y;semantic_search;;14:15:18 - 21/06/2024;;;
zDA0vG61KVAIG4y;CharlieBOT;La afirmación incorrecta es: (a) El resto de métodos de la clase Vehicle también tienen que ser abstractos. La razón es que una clase abstracta puede contener métodos concretos (es decir, métodos con implementación) además de métodos abstractos. Por lo tanto, no todos los métodos de la clase Vehicle tienen que ser abstractos. Si necesitas más ayuda, no dudes en preguntar.;14:15:19 - 21/06/2024;;;
zDA0vG61KVAIG4y;User;"Dada la clase A y el siguiente fragmento de c´odigo, indica cu´al ser´ıa el modo m´as adecuado de llamar a los m´etodos m1 y m2 desde el m´etodo main, una vez creado el objeto a. 
public class A { 
    public void m1(){ ... } 
    public static void m2(){ ... } 
    public static void main(String[] args) { 
        A a = new A(); 
        ... 
    } 
} 
(a) a.m1(); A.m2(); 
(b) A.m1(); A.m2(); 
(c) A.m1(); a.m2(); 
(d) a.m1(); a.m2();";14:15:37 - 21/06/2024;Multiple Question Exercise;Java;Yes
zDA0vG61KVAIG4y;semantic_search;avanzada del sistema – Opciones avanzadas - Variables de entorno Estructura del Lenguaje Java Escenario II: Comprender el código  Te informan de que en tan solo una hora es la primera reunión de programadores y para entonces tienes que haber revisado el código y tener una idea de cómo funciona la aplicación. Objetivo: Coger soltura leyendo las estructuras del lenguaje relacionadas con clases, atributos y métodos para con un vistazo rápido comprender el funcionamiento de un programa complejo con varios ficheros. Plan de trabajo: Repasar brevemente la sintaxis del lenguaje (identificadores, palabras reservadas, etc.) para ser capaz de distinguir las palabras propias del lenguaje Java de la nomenclatura del programa. Reconocer las construcciones propias del lenguaje relacionadas con la declaración de clases, atributos (tipos básicos y de referencia) y métodos. Extraer un diagrama de clases a la vista del código para conocer tipos de objetos desarrolladas, sus características (atributos) y comportamientos (métodos). Interpretar el método main (si existe) para ver el orden en el que se desarrolla la aplicación que objetos se crean, a cuales de sus métodos se invoca y en qué orden.    Estructura del código  Programa: Clases (ficheros.java) Miembros: Atributos (Tipo de referencia, Tipo Primitivo), Métodos (Normales, Constructor, Main, Métodos Especiales) Objetos: Arrays, String  Cómo representamos en Java las clases y los objetos.  Declaración de una clase Declaración de un atributo (constantes o variables) Declaración de un método Creación de un objeto Identificadores Palabras reservadas Tipos primitivos y de referencia en Java  Java imperativo Escenario III: Implementar un método  Una vez terminada la reunión de programadores y para probar tu pericia antes de integrarte en el equipo, tu jefe decide encargarte la implementación de varios métodos sencillos.;14:15:37 - 21/06/2024;;;
zDA0vG61KVAIG4y;CharlieBOT;"El modo más adecuado de llamar a los métodos m1 y m2 desde el método main, una vez creado el objeto a, sería: (d) a.m1(); a.m2(); Ya que el método m1 es un método de instancia, por lo que debe ser llamado a través de un objeto de la clase A, mientras que el método m2 es un método estático, por lo que puede ser llamado directamente a través de la clase A o a través de un objeto de la clase A. Si tienes alguna otra pregunta, no dudes en preguntar.";14:15:39 - 21/06/2024;;;
zDA0vG61KVAIG4y;User;"La estructura LinkedList, es decir, una lista enlazada de objetos de la clase Match (partido), puede contener: 
(a) Objetos de la clase Match y de cualquier clase no abstracta derivada de ella. 
(b) Exclusivamente objetos de la clase Match. 
(c) Objetos de la clase Match y de cualquier clase que la utilice como atributo. 
(d) Objetos de las clases Match y Object.";14:15:56 - 21/06/2024;Multiple Question Exercise;Data Structures;Yes
