CLASSE,ESPECIFICAÇÃO, AFINIDADE,ESPECIFICAÇÃO AFINIDADE, AFINIDADE,ESPECIFICAÇÃO AFINIDADE, AFINIDADE,ESPECIFICAÇÃO AFINIDADE, AFINIDADE,ESPECIFICAÇÃO AFINIDADE, AFINIDADE,ESPECIFICAÇÃO AFINIDADE,,,,,,,,,,
1,"Sais [preparações químicas], preparações químicas",42,"Análises químicas; Assessoria, consultoria e informações sobre pesquisas e análises bacteriológicas, 
biológicas, químicas e bioquímicas",,,,,,,,,,,,,,,,,,
2,Tintas,16,Tintas *,35,"Comércio [através de qualquer meio] de tintas, vernizes, lacas",40,Serviço de mistura de tintas,,,,,,,,,,,,,,
3,Cosméticos,18," Bolsa para cosméticos [vazia]; Estojos de cosméticos [frasqueiras], vazios",21,Utensílios para cosméticos,35,Comércio [através de qualquer meio] de cosméticos,42,"Assessoria, consultoria e informação sobre pesquisas de cosméticos",,,,,,,,,,,,
3,"Perfumes,  Produtos de perfumaria",35,"Comércio [através de qualquer meio] de produtos de perfumaria;  Supermercado [comércio de artigos de higiene pessoal, cosmética e perfumaria]",4,Velas perfumadas,7,Acessórios para aspirador de pó para disseminação de perfumes e desinfetantes,21,"Defumadores [perfumadores], elétricos e não elétricos",40,Perfumar o ar,,,,,,,,,,
4,Lubrificantes,35,Comércio [através de qualquer meio] de lubrificantes,,,,,,,,,,,,,,,,,,
5,Preparações farmacêuticas,35,Comércio [através de qualquer meio] de preparações farmacêuticas; Farmácia [comércio de produtos farmacêuticos],44,Análise farmacêutica; Consultoria em farmacêutica; Farmácia de manipulação [manipulação de medicamentos];  Preparação de receitas por farmacêuticos ,,,,,,,,,,,,,,,,
5,Cultura de tecido biológico para fins medicinais,16,Amostras biológicas para uso em microscopia [material didático],,,,,,,,,,,,,,,,,,
5,Suplementos nutricionais,44,"Assessoria, consultoria e informação sobre suplementos dietéticos e nutrição",,,,,,,,,,,,,,,,,,
5,Suplementos alimentares,44,"Assessoria, consultoria e informação sobre suplementos dietéticos e nutrição",,,,,,,,,,,,,,,,,,
5,Fungicidas,35,"Comércio [através de qualquer meio] de produtos para a destruição dos animais nocivos, fungicidas e herbicidas",1, Aditivos químicos para fungicidas,,,,,,,,,,,,,,,,
5,herbicidas,35,"Comércio [através de qualquer meio] de produtos para a destruição dos animais nocivos, fungicidas e herbicidas",,,,,,,,,,,,,,,,,,
5,Desinfetantes,7,Acessórios para aspirador de pó para disseminação de perfumes e desinfetantes; Aparelhos para lavagem [limpeza]; ,11,Distribuidores de desinfetantes para toaletes; Aparelho desinfetante para fins médicos,35,Comércio [através de qualquer meio] de desinfetantes; Comércio [através de qualquer meio] de material de limpeza;,21,Esfregões para limpeza; Panos de limpeza,37,Aluguel de equipamentos de limpeza; Desentupimento e limpeza de cano e tubulação; Serviços domésticos [serviços de limpeza],,,,,,,,,,
5,Preparações para destruir pragas,37,"Serviço de controle de pragas, exceto para agricultura, aquicultura, horticultura e silvicultura",44,"Serviços de controle de pragas para agricultura, aquicultura, horticultura e silvicultura;Tratamento fitossanitário [controle de pragas agrícolas]",,,,,,,,,,,,,,,,
6,"Metais comuns, brutos ou semitrabalhados",2,Preparações para proteção de metais,7,Máquinas para trabalhar metais,14,Metais preciosos não trabalhados ou semitrabalhados; Lingotes de metais preciosos; ,35,Comércio [através de qualquer meio] de metais comuns e suas ligas; Comércio [através de qualquer meio] de metais preciosos e suas ligas; Comércio [através de qualquer meio] de produtos confeccionados de metais preciosos ou folheados,,,,,,,,,,,,
6,"Cabos de metal, não elétricos",17,Isolantes para cabos,35,Comércio [através de qualquer meio] de cabos e fios de metal comuns não elétricos,37,Instalação de cabos,,,,,,,,,,,,,,
6,Abraçadeira de fixação [ferragem],8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Amortecedor para porta [ferragem],8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Anel metálico [ferragem],8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Articulação metálica para janela [ferragem],8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Borboleta [ferragem],8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Escora de porta de metal [ferragem],8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Espiga [ferragem],8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Ferragem metálica para cortina,8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Fivelas de metal comum [ferragem],8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Grampo de metal [ferragem],8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Mangas [ferragem de metal],8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Tenazes [ferragem de metal],8,Olhal [ferragem],20,Ferragem não metálica para cortina de metal,35,- Comércio [através de qualquer meio] de artigos de ferragem,,,,,,,,,,,,,,
6,Cofres de dinheiro [metálicos ou não metálicos],20,Cofres não metálicos,21,Cofres de porquinho,,,,,,,,,,,,,,,,
6,Cofres de segurança,20,Cofres não metálicos,21,Cofres de porquinho,,,,,,,,,,,,,,,,
6,Cofres eletrônicos,20,Cofres não metálicos,21,Cofres de porquinho,,,,,,,,,,,,,,,,
6,Cofres-fortes [metálicos ou não metálicos],20,Cofres não metálicos,21,Cofres de porquinho,,,,,,,,,,,,,,,,
7,Máquinas-ferramentas,9,Aparelhos e máquinas para sondagem,11,"Máquinas para irrigar, para fins agrícolas",16,Máquinas para perfurar [material de escritório],35,Aluguel de máquinas de autosserviço;  Comércio [através de qualquer meio] de máquinas-ferramentas; ,37,"Automação industrial [instalação e manutenção de máquinas]; Instalação, manutenção e reparo de máquinas",,,,,,,,,,
7,Abridores de latas elétricos,8,"Abridores de latas, não elétricos",21,"Abridores de garrafas, elétricos e não elétricos",,,,,,,,,,,,,,,,
8,Lâminas para aparelho de barbear,35,"Comércio [através de qualquer meio] de aparelhos [lâminas] de barbear; Comércio [através de qualquer meio] de preparações de higiene pessoal não 
medicamentosas",,,,,,,,,,,,,,,,,,
8,Agulhas para tatuagens,26,Agulhas *; Caixas para agulhas,44,Serviço de tatuagem,2,Tinta para tatuagem,,,,,,,,,,,,,,
8,Alicates de unhas,21,Escovinhas para as unhas,3,Acetona [removedor de esmalte de unhas]; Esmalte para unhas; Produtos para o cuidado das unhas,,,,,,,,,,,,,,,,
8,Ferramentas manuais,6,"Caixas de metal para ferramentas, vazias",18,"Bolsas de couro para ferramentas, vazias",20,"Arca para ferramentas, não metálicas, vazias; Caixas de ferramentas, não metálicas, vazias",35,Comércio [através de qualquer meio] de ferramentas manuais; Comércio [através de qualquer meio] de máquinas-ferramentas; ,,,,,,,,,,,,
8,"Ferramentas de jardinagem, operadas manualmente",21,Luvas de jardinagem,44,Aluguel de animais para serviços de jardinagem; Aluguel de equipamentos de jardinagem; Jardinagem,,,,,,,,,,,,,,,,
8,Implementos agrícolas manuais,35,Comércio [através de qualquer meio] de instrumentos agrícolas não manuais,42,Agrimensura [medição de terras agrícolas,44,Aluguel de equipamentos agrícolas,,,,,,,,,,,,,,
9,Alarmes,12,Alarmes de marcha à ré para veículos,37,Instalação e reparo de alarmes de incêndio,45,Aluguel de alarmes de incêndio,,,,,,,,,,,,,,
9,Alarmes de incêndio,37,Instalação e reparo de alarmes de incêndio,45,Aluguel de alarmes de incêndio,,,,,,,,,,,,,,,,
9,Aparelhos de transmissão [telecomunicação],35,"Comércio [através de qualquer meio] de aparelhos para o registro, a transmissão e a reprodução de som ou imagens",38,Aluguel de aparelhos de transmissão de mensagens,,,,,,,,,,,,,,,,
9,Armação de óculos,35,Comércio [através de qualquer meio] de aparelhos e instrumentos ópticos,40,Polimento de vidro óptico,42,Aluguel de óculos inteligentes,,,,,,,,,,,,,,
9,Arquivos de música baixáveis,35,"Comércio on-line, no varejo, de filmes e músicas pré-gravados e para download; Comércio on-line, no varejo, de música digital baixável",,,,,,,,,,,,,,,,,,
9,Babá eletrônica,45,Serviços de babá,,,,,,,,,,,,,,,,,,
9,Cabos elétricos,6,Grampos de metal para cabos ou tubos,17,Isolantes para cabos,35,Comércio [através de qualquer meio] de cabos e fios de metal comuns não elétricos,37,Instalação de cabos,,,,,,,,,,,,
9,"Cartuchos de tinta, vazios, para impressoras e fotocopiadoras",2,"Cartuchos de tinta, abastecidos, para impressoras e fotocopiadoras",7,Impressoras 3d,37,Serviço de recarga para cartucho de impressora,40,Aluguel de impressoras para uso com computadores,,,,,,,,,,,,
9,Programas de jogos de computador baixáveis,28,Controles para consoles de jogos; Jogos,35,Comércio [através de qualquer meio] de jogos e brinquedos,41,Aluguel de equipamento de jogos; - Provimento de serviços para jogos eletrônicos;  Provimento de serviços para jogos on-line [computadores],42,Desenvolvimento de videogames e jogos de computador,,,,,,,,,,,,
10,Agulhas de acupuntura,44,Acupuntura,,,,,,,,,,,,,,,,,,
10,Agulhas para sutura,35,Comércio [através de qualquer meio] de material de sutura,,,,,,,,,,,,,,,,,,
10,Agulhas para uso medicinal,26,Caixas para agulhas,,,,,,,,,,,,,,,,,,
10,Aparelhos auditivos,44,Locação de equipamentos médicos,11,Esterilizadores para instrumentos médicos,35,Comércio [através de qualquer meio] de aparelhos e instrumentos médicos,37,Esterilização de instrumentos médicos,,,,,,,,,,,,
10,Aparelhos e instrumentos médicos,44,Locação de equipamentos médicos,11,Esterilizadores para instrumentos médicos,35,Comércio [através de qualquer meio] de aparelhos e instrumentos médicos,37,Esterilização de instrumentos médicos,,,,,,,,,,,,
10,Aparelhos e instrumentos odontológicos,40,Protético [serviço técnico de odontologia],44,"Assessoria, consultoria e informação odontológica; Assessoria, consultoria e informações sobre medicina, assistência médica e 
odontológica; Odontologia [cirurgião-dentista]; Perícia odontológica/perito odonto-legista",,,,,,,,,,,,,,,,
10,Aparelhos e instrumentos veterinários,5,Preparações veterinárias,35,Comércio [através de qualquer meio] de aparelhos e instrumentos veterinários; Comércio [através de qualquer meio] de preparações veterinárias,44,"Assistência veterinária; Clínica veterinária; Coleta, em domicílio, de material para análise clínica médica/veterinária",,,,,,,,,,,,,,
10,Pistolas para medicação [uso veterinário],5,Preparações veterinárias,35,Comércio [através de qualquer meio] de aparelhos e instrumentos veterinários; Comércio [através de qualquer meio] de preparações veterinárias,44,"Assistência veterinária; Clínica veterinária; Coleta, em domicílio, de material para análise clínica médica/veterinária",,,,,,,,,,,,,,
10,Aparelhos para massagem,20,Cadeiras ergonômicas para massagem na posição sentada; Mesas de massagem,44,"Assessoria, consultoria e informação em massagem; Massagem",,,,,,,,,,,,,,,,
10,Aparelhos para massagens estéticas,20,Cadeiras ergonômicas para massagem na posição sentada; Mesas de massagem,,,,,,,,,,,,,,,,,,
10,Coletores menstruais,5,Absorventes higiênicos externos para menstruação; Absorventes higiênicos internos,,,,,,,,,,,,,,,,,,
10,Lençóis cirúrgicos,24,Lençóis [têxteis],,,,,,,,,,,,,,,,,,
10,Maletas especiais para instrumentos médicos,6,Fechos de metal para maletas,,,,,,,,,,,,,,,,,,
10,Mamadeiras,11,Aquecedores elétricos para mamadeiras,21,Aquecedores não elétricos para mamadeiras,28,Mamadeiras de bonecas,,,,,,,,,,,,,,
10,Próteses,,,3,Produtos para polimento de próteses dentárias,5,Porcelana para próteses dentárias,,,,,,,,,,,,,,
