Id;Role;Message;Datetime;Classification;Topic;Change;Rol;Mensaje;Fecha;Color;TimeDelta;TimeDeltaMinutes
0h162nwvx8;User;que tal, como iban lo de los abstracts en herencia y tal? que reglas siguen y como se implementaban?;2025-02-24 14:13:02;Conceptual Question;Object Orientation;No;;;;#79C7E3;0 days 00:00:00;0.0
0h162nwvx8;User;osea que se implementaria en la clase hija y ya no? y hay que declararlo antes verdad?;2025-02-24 14:16:39;Conceptual Question;Object Orientation;No;;;;#79C7E3;0 days 00:03:37;3.6166666666666667
0h162nwvx8;User;que significaba cuando el tipo de datos era protected?;2025-02-24 14:28:55;Conceptual Question;Java;Yes;;;;#79C7E3;0 days 00:12:16;12.266666666666667
0h162nwvx8;User;y desde donde no puedo acceder? desde otra clase que no herede?;2025-02-24 14:29:32;Conceptual Question;Java;No;;;;#79C7E3;0 days 00:00:37;0.6166666666666667
0h162nwvx8;User;los metodos get y set iban dentro del constructor?;2025-02-24 14:30:54;Conceptual Question;Java;No;;;;#79C7E3;0 days 00:01:22;1.3666666666666667
0h162nwvx8;User;okey;2025-02-24 14:31:12;Uncategorized;Java;No;;;;#91FC09;0 days 00:00:18;0.3
0h162nwvx8;User;Implementa el método area() que devuelva el área del círculo. Haz uso de Math.PI para el cálculo del área. como implementas este metodo?;2025-02-24 14:40:30;Code Snippet;Java;No;;;;#F7F42D;0 days 00:09:18;9.3
8VlHIuhzgl;User;que tenias que hacer para hacer herencia de objetos? dame algun ejemplo;2025-02-17 14:13:25;Code Snippet;Object Orientation;No;;;;#F7F42D;0 days 00:00:00;0.0
8VlHIuhzgl;User;y para los atributos? dame un ejemplo que conlleve un constructor;2025-02-17 14:14:21;Code Snippet;Object Orientation;No;;;;#F7F42D;0 days 00:00:56;0.9333333333333333
8VlHIuhzgl;User;gracias;2025-02-17 14:15:15;Uncategorized;Object Orientation;No;;;;#91FC09;0 days 00:00:54;0.9
8VlHIuhzgl;User;y se puede hacer un doble extend?;2025-02-17 14:15:55;Conceptual Question;Java;Yes;;;;#79C7E3;0 days 00:00:40;0.6666666666666666
8VlHIuhzgl;User;cuando una clase extiende de otra y luego quiero hacerle otro extend como hago a la hora de poner el super??;2025-02-17 15:03:24;Code Snippet;Java;No;;;;#F7F42D;0 days 00:47:29;47.483333333333334
