Id;Role;Message;Datetime;Classification;Topic;Change;Rol;Mensaje;Fecha
ZT50sKs6yKBwvMB;User;Modifica el primer constructor para que cuando se construyan objetos de la clase, estos se uniformicen automáticamente haciendo las siguientes operaciones:  Si el denominador es negativo, multiplica numerador y denominador por -1. ten en cuenta que ya he definido toda la clase;19:02:48 - 12/02/2025;Complete Solution;Object Orientation;No;;;
ZT50sKs6yKBwvMB;User;"Simplifica la fracción dividiendo numerador y denominador por su máximo común divisor. Probablemente sea una buena decisión de diseño crear un método auxiliar privado que implemente estas operaciones, e invocarlo desde el constructor. Para calcular el máximo común divisor de dos números puedes copiar el siguiente método en tu clase: private int gcd() { int a = /* put here the attribute that represents the numerator / int b = / put here the attribute that represents the denominator */ while (b != 0) { int tmp = b; b = a % b; a = tmp; } if (a < 0) { a = -a; } return a; }";19:04:25 - 12/02/2025;Complete Solution;Object Orientation;No;;;
P01JTmsEWWX50NL;User;cual es el motivo por el que se ponen los getters y setters;18:10:19 - 14/02/2025;Conceptual Question;Object Orientation;No;;;
luRhTnFYJh2RyVE;User;en el assert equals que habia que poner;14:33:54 - 03/03/2025;Code Snippet;Testing;No;;;
luRhTnFYJh2RyVE;User;como miro que clses tengo en eclipse? me han desaparecido;15:19:12 - 03/03/2025;Debugging Help;Testing;No;;;
luRhTnFYJh2RyVE;User;"import static org.junit.jupiter.api.Assertions.*; import org.junit.jupiter.api.Test; public class MyClassTest {     private static Stream() {         return Stream.of(                 Arguments.of(4,2),                 Arguments.of(25,5),                 Arguments.of(121,11)); } @ParameterizedTest @MethodSource()     public void testSquare(  ,  ) { } }";15:25:18 - 03/03/2025;Debugging Help;Testing;No;;;
luRhTnFYJh2RyVE;User;"Dada la siguiente clase que calcula el cuadrado de un número: public class MyClass { public MyClass() { } public int square(int i) { return i * i; } } Se pide ejecutar los siguientes casos de prueba: Entrada Salida 2 4 5 25 11 121 Para ello se debe utilizar las anotaciones de JUnit que permiten ejecutar un test con diferentes valores de entrada (Parametrizados). Se puede usar la siguiente plantilla para este ejercicio: import static org.junit.jupiter.api.Assertions.*; import java.util.stream.Stream; import org.junit.jupiter.params.ParameterizedTest; import org.junit.jupiter.params.provider.Arguments; import org.junit.jupiter.params.provider.MethodSource; public class MyClassTest { private static Stream __() { return Stream.of( Arguments.of(, ), Arguments.of(, ), Arguments.of(, )); } @ParameterizedTest @MethodSource(__) public void testSquare(______, __________) {   } }  estoy haciendo esto pero todo el codigo del testing me esta dando errores, ya me he definido las clases con los constructores etc";15:33:38 - 03/03/2025;Complete Solution;Java;Yes;;;
luRhTnFYJh2RyVE;User;"public class MyClass {     private int input,expected;     public MyClass(int iinput, int expected) {         this.input = input;         this.expected = expected; }     public static int square(int i) {         return i * i; } }  da errores otra vez, ten en cuenta que hemos definido myclass previamente";15:35:22 - 03/03/2025;Debugging Help;Java;No;;;
luRhTnFYJh2RyVE;User;y luego la clase testing como seria;15:35:44 - 03/03/2025;Complete Solution;Testing;Yes;;;
luRhTnFYJh2RyVE;User;que estaba haciendo mal?;15:36:53 - 03/03/2025;Debugging Help;Testing;No;;;
