User,Number of Sessions
0003ec77-0e63-11f0-aa96-631553c01f83,1.5
00321efa-e08c-11ee-a58b-cb331d232268,1.0
0060b775-0b47-11f0-9c32-3f80876f42ad,1.0
006f68d7-0e63-11f0-a1b6-d5f031927cd2,1.0
008b7d80-d80f-11ef-8fd8-836c13b41063,1.0
009b074d-96ee-11ef-afa4-9d7cf6bcc22b,1.0
00a0caaf-0b47-11f0-b003-b988bcc3c251,1.0
00a7c70e-000c-11f0-bb54-b7aa59245fec,1.0
00b00ee8-e888-11ee-be48-cdab8d463470,1.5
00c8a6e2-87af-11ee-8d89-bbe4872ed907,1.0
00e2f4f5-e888-11ee-abba-a1537c2618e2,1.0
00f67473-87af-11ee-9293-a34456479055,1.0
01070cb9-e08c-11ee-959b-c9b410d5d72f,1.0
01114e4a-a66d-11ee-bf81-7fd9d86650b9,1.0
011854f4-0b47-11f0-b81d-b18f3933048d,1.0
014aa183-000c-11f0-87c2-41101853c255,1.0
014ed191-96ee-11ef-89fe-0deadceb4de1,1.0
015e6604-d80f-11ef-a3e1-cb6f6ce867ec,1.0
018b5afb-d02a-11ee-bc78-fd392210567d,2.0
01af3a71-000c-11f0-b133-d95246b48334,1.0
01b9780e-87af-11ee-b8fb-53c5162f89cb,1.0
01d1eb6a-e08c-11ee-a833-8ffe7d963d15,1.0
01d38c5b-4538-11ef-beb4-05be99add0b9,1.0
01e48d6f-cc41-11ee-a60c-9fa4ee0dbc4b,1.0
022391c5-e08c-11ee-832a-05cb971565d5,1.0
022864f7-a66d-11ee-8ea2-273cc8d8ec95,1.0
0246ab41-d02a-11ee-a326-fd392210567d,3.0
0256c512-e08c-11ee-9f22-b18cef0d829f,1.0
025738e7-000c-11f0-9722-e959c5186e0a,1.0
02584ed8-e08c-11ee-8a87-25663a1edea9,1.0
027b6ae8-000c-11f0-8b0f-b7aa59245fec,1.0
028c4255-4538-11ef-814a-61b589e7f51f,1.0
029f1e60-000c-11f0-a97f-e959c5186e0a,1.0
02adb61b-4538-11ef-9604-35f2012a1bb6,1.0
02bd1d3c-000c-11f0-9bc3-e959c5186e0a,1.0
02fb9ed2-4538-11ef-abe3-a3919a9cf6bf,1.0
02fceafc-4538-11ef-aa01-4903c4f7500b,1.0
02fe585f-d02a-11ee-83c6-054159ce797a,1.0
03019e1a-000c-11f0-ba5a-b7aa59245fec,1.0
031b9231-96ee-11ef-893a-0fa6ef8b9c8e,1.0
033d18da-96ee-11ef-8798-03f1ce35990a,1.0
0355c439-a66d-11ee-a591-138cde77ce79,1.0
038ba15c-87af-11ee-a5db-ed5dfbd1ecd4,1.0
03a371c8-96ee-11ef-a602-650a730f9228,1.0
03c394d8-87af-11ee-8533-d7acbb0efe09,1.0
03d16f42-000c-11f0-bdf7-675d6386f2f2,4.0
03e86615-115b-11ef-b0ed-59ae9a358f92,1.0
03f97942-000c-11f0-9c69-0fe250feb389,1.0
0401214a-4538-11ef-b8fd-af746575f845,1.0
04666b44-cc41-11ee-8f6a-1ba0aa1525b3,1.0
049011e8-e08c-11ee-b806-c9b410d5d72f,1.5
04a08246-000c-11f0-b696-b19d101b8d93,1.625
04cff28f-e30f-11ef-972c-f31104b701a5,1.0
04d25dd6-e30f-11ef-a512-3990e056a77e,1.0
04dddd1e-cc41-11ee-9a95-13eaeb49a171,1.0
04e37640-000c-11f0-ba19-35752ee55873,1.0
0504145f-87b0-11ee-812d-4f7e5bfd9230,1.0
050fa00e-a66d-11ee-99e1-09978fd5a5f6,1.0
05297b21-000c-11f0-bebb-dd71b0392b68,1.0
055b6a8a-e30f-11ef-b7fc-875e0467dc43,1.0
0572af52-cc41-11ee-aa6a-57f3dc2e2d60,1.0
05763055-cc41-11ee-b0d0-9fa4ee0dbc4b,1.0
0578ffab-e30f-11ef-8caf-f31104b701a5,1.0
057b6a97-e30f-11ef-846d-2967956e1029,2.0
058f548e-000c-11f0-b979-d380ae44e6c1,1.0
0594003a-96ee-11ef-a8d6-432d62b22619,1.0
05c35937-cc41-11ee-a55e-9fa4ee0dbc4b,1.0
05ebc9af-d02a-11ee-b57a-05c5e69c13ab,1.0
060e9c8f-d02a-11ee-9393-65ffc28aaf19,2.0
060fffae-000c-11f0-8286-d95246b48334,1.0
06305381-000c-11f0-8e96-d95246b48334,1.0
0631f9d1-000c-11f0-98cc-d380ae44e6c1,1.0
06532359-0ca4-11ef-8ed3-2949f3fde4a8,1.0
065b8b2c-000c-11f0-a73a-d380ae44e6c1,1.0
06702fbb-e30f-11ef-a469-ddf103a8910a,1.0
067de60d-000c-11f0-99e8-5bf1caa4730c,1.0
0680630d-07ed-11ef-a835-a35c7f06c1fa,1.0
068d5111-e30f-11ef-ad0e-f31104b701a5,2.0
069646d7-000c-11f0-9396-675d6386f2f2,1.0
06a86c98-d02a-11ee-8176-49e3239f6572,1.0
06b06483-d02a-11ee-a02a-abc3336e886b,1.0
06d185b0-e30f-11ef-8ad5-ddf103a8910a,1.0
06f9a877-000c-11f0-bb8b-8fede9c6b5ca,1.0
07186199-d9a1-11ef-9a04-33318965822e,2.0
07196c93-e30f-11ef-931d-ddf103a8910a,1.0
072b8339-a66d-11ee-bf83-c18e5de2533a,1.0
072e078f-115b-11ef-96c0-2df86500bc7e,1.0
073c779f-0ee9-11f0-b7cf-71893d07bab6,1.0
074148a2-e30f-11ef-bb46-2793d934ae26,1.0
07414962-e30f-11ef-9fb7-1907b95bafec,1.0
074e6cab-0ee9-11f0-9301-2bac234530c2,1.0
074f9314-96ee-11ef-bf23-3d2269521b56,2.0
07513c32-96ee-11ef-bc67-d16415050836,2.0
0757ed87-000c-11f0-94f3-c95615349d79,1.0
0783b174-e30f-11ef-85f8-1907b95bafec,1.25
