message_id;student_query;Metacognition
143a86d4-3335-4700-987b-c485f56e52e0;no entiendo la multiplicación de fracciones donde puedo obtener mayor información;1
5c91f419-534c-4c22-ad86-32c6549eb27d;no entiendo la matriz foda;1
83ffd142-418b-45b6-83da-652f69c948dd;no entiendo que tengo que hacer en mi segunda prueba;1
90ed177c-7978-4a2b-a446-30117c7ccd86;lo que pasa que en pantallla sale una fecha de termino para rendir examenes entonces no entiendo por que yo los ultimos examenes eran despues de la encuesta y yo ya los rendi entonces para que es la nueva fecha;1
9932d2f9-bd8b-4f81-83cc-12db535616a1;HOLA NO ENTIENDO UNA ACTIVIDAD DE NIVELACION DE MATEMATICAS;1
bd626d9c-4f71-45a8-a0ab-773cb456ba80;no entiendo mucho las raices;1
d67b6ea0-e3e5-4f9a-a815-878df3e38d2d;Hola tengo una duda que pasa si no paso este ramo es que no entiendo mucho de tecnología;1
e86185f7-b04f-45c2-9b18-a6ed105f91ac;no entiendo;1
a31db1b5-6f76-4f3d-8dc7-7a87622b4932;no entiendo la materia de algebra;1
69c79c13-b5ca-4d8b-b12d-6537ef2c46fe;No entiendo lo que se tiene que hacer en la evaluación número 2 de metrología manuales y planos;1
81435a24-b7a3-4ac0-8066-fc01e0f33662;buenas no epodido realizar la prueba no entiendo;1
a26c8a89-dfec-44e9-b237-8ba5aebd4795;me puedes dar un ejemplo espesificamente como puedo hacer todo eso ya que no entiendo 100% loque ahy que hacer;1
c30aa475-93bd-4d8a-8743-ef09d21c0f68;hola queria preguntar espesificamente que es lo que ahy que hacer en la evaluacion de la unidad 1 ya que no entiendo mucho;1
d17adf63-8e09-44ca-8903-5f6371bd51a3;No entiendo como debo construir sentencias en lenguaje SQL para obtener información desde las tablas del esquema HR;1
f0d3eb4b-6177-4ecf-8a65-f871178ff064;NO ENTIENDO LA EVALUACION;1
17b6ae76-6c8b-4a9a-9681-eb02025b2511;Pero mira en el. Ejercicio 1 decia que debia crear esos componenetes peto. No. Me carga la web con la lista dr compras no entiendo. Pprque;1
c850b6d9-39ec-4967-bc8a-0e4c95f03fa1;No entiendo como. Debo crear los ejercicios ayudame;1
46a0a6db-dff7-4dae-a779-fd2d6f510646;hola no entiendo por que los contenidos me aparecen 2 de 6 no se como completarlos;1
fb401a70-0d33-42a8-8f73-eb15ed32199b;Hola no entiendo mucho esta materia;1
172f1d6d-1640-4e12-9d14-a14120bedfad;no entiendo lo que hay que hacer en la evaliacion 3;1
74637801-1cdc-4cfc-b3aa-c3b2e556c30a;estoy confundido con el examen de la tercera unidad;1
82ce29a0-35b5-43b9-b89d-fd86679b7d16;hola no entiendo eel instructivo para dar mi examen y ya me queda poco tiempo;1
8b327e59-e6b1-46b8-886b-db02b90e8242;No entiendo de que forma participar en el foro;1
9a47f64f-46fb-44bf-b12a-f781eabb29f8;Mi otra consulta  esta evaluación es presencial porque la verdad no entiendo;1
b9410de5-13e0-4123-8f7f-ce8958e325af;no entiendo la forma de estudio;1
dad7d287-4c9f-42ee-97cb-030c207a5b5c;no entiendo bien que debo hacer en la evaluacion de la tercera unidad;1
18386fb6-9948-4dc8-ab31-329e91371b93;no entiendo la evaluacion 3;1
e290c04e-8a0d-44ee-b25f-9369ed899d71;no entiendo el sistema de avaluaciones;1
49c5b3b4-4e0f-4c1e-b911-b428df069086;no entiendo mi tarea;1
921326c9-4cd8-4746-8191-659f3949a5e8;esque no entiendo sus intrucciones en si me confunde;1
fe8ea640-8161-421c-9381-1ead502de3d3;Quiero saber cómo es el contenido de iplacex no entiendo nada;1
ce4fe0a8-58ed-4f59-b68d-04b06759777a;no entiendo la plataforma de mi carrera como puedo hacer un induccion;1
ec8210f2-cce6-4c31-8f2e-74ec5f7fccb8;no entiendo nada.. explicame bien por favor;1
4c04069f-6d34-4fd8-9b9c-0228ad872c32;aun no entiendo el trabajo de la unidad 2;1
a76f031e-571b-4473-b754-3751286465d9;no entiendo el examen;1
d1cce6e9-8d2f-466d-b71f-53f0de1a6695;es que hay actividades que son como de retroalimentacion autoevaluativa entonces no entiendo donde las subo o que onda;1
92166e28-4d73-4841-adbd-86f2bd0c543e;No entiendo lo de las pruebas con 2 y 3 asignaturas;1
3f48b11d-681f-4351-be67-209386ac6d6a;es que no entiendo lo que debó realizar;1
772c61f7-6511-445e-975e-2f10e153f3e4;no entiendo las formulas poe so te pido ayuda para poder entender;1
f544b7a7-00b9-4dcc-9bc2-2de6c31993ba;me gustaria si me puedes ayudar en resolver los ejercicios ya que no entiendo nada para poder resolverlos;1
79d12665-255a-46f2-9c95-fd3f13bfd1be;¿todavia no entiendo de donde salio el 15% de ejercicio y si lo calculas por el 12% me da otro impueso;1
900f9cb9-c15f-41ed-9364-d33189f2d4b6;¿cual es el impuesto en la venta generada en la venta de la maquina antigua? ¿cual es la tasa de interes? no entiendo porque para mi es 12% no el 15% ya que con donce porciento me da menos interes que con el de 15%;1
a0d4d7a2-ce00-4942-8b5d-08d8806d8563;no entiendo como calcular el valor de mercado del bono;1
1b0dbb79-897f-4739-a21e-bd0fd1fb8e3f;No entiendo como calcular mi nota final;1
42ed2054-2e73-4a6f-ad06-80abbaa87396;no entiendo lo que hay que hacer en el examen;1
1bbd15c8-6f7c-41ec-8a29-e8d298487975;Hola no entiendo cuando es la evaluación de la semana 1;1
8f5f573a-338d-40ef-8db7-7cd3edad78c8;No entiendo por qué no se puede realizar la prueba;1
94a0962b-1ba6-47d7-a131-d947f08059f6;Hola buenas noches no entiendo donde se responden las actividades para ser enviadas con las respuestas;1
dfed8b1d-964f-4950-ab4d-8fe69a5c33d6;hola ingrese a ser mi evaluación pero no entiendo no me deja hacer el taller;1
f1ba9bb5-1962-4439-ae1e-4c09345098f2;Hola no entiendo cómo debo hacer el trabajo de psicología del desarrollo unidad 3 ya que no hay una pauta solo dice realizar actividades de la semana 5 y semana 6;1
1636f98c-301b-46be-b5db-fca97c79f217;no entiendo como hacer mi evaluacion 1;1
7ef70cd4-748f-4351-9214-20f26731432f;no entiendo los ingresos definitivos y los ingresos provisorios;1
a657da74-5f73-4fa0-a0b4-c8b5e2fad3b8;no entiendo como saco Ventas de equilibrio en unidades física;1
d253cae8-6fe2-430f-9e7b-8bc1547baa7a;no entiendo por que me sale 1 de 5 en el modulo 1 si lo termine al 100%;1
54b8a8f5-5628-4cca-be9b-bb949f1195a3;no entiendo como hacer el trabajo;1
95352946-2303-462e-9aaa-53ffae398398;no entiendo nada;1
