message_id;student_query;Metacognition
02bb8b60-1920-4d65-8d16-0676c9b350f6;Hay un ejercicio de matemática que no entiendo, pedi ayuda al profesor por medio del foro y no recibi respuesta;1
143a86d4-3335-4700-987b-c485f56e52e0;no entiendo la multiplicación de fracciones donde puedo obtener mayor información;1
5c91f419-534c-4c22-ad86-32c6549eb27d;no entiendo la matriz foda;1
83ffd142-418b-45b6-83da-652f69c948dd;no entiendo que tengo que hacer en mi segunda prueba;1
901d0530-5263-4559-be88-3582f4a407eb;aun no comprendo muy bien la metodología de estudio me confundo un poco;1
90ed177c-7978-4a2b-a446-30117c7ccd86;lo que pasa que en pantallla sale una fecha de termino para rendir examenes entonces no entiendo por que yo los ultimos examenes eran despues de la encuesta y yo ya los rendi entonces para que es la nueva fecha;1
98b80620-a151-46cc-b002-ab288d80c384;cuales son todos los videos disponibles que debo revisar;1
9932d2f9-bd8b-4f81-83cc-12db535616a1;HOLA NO ENTIENDO UNA ACTIVIDAD DE NIVELACION DE MATEMATICAS;1
ab50955e-9350-4d4e-accb-22c7148fda0e;Quiero saber si mi trabajo se cargo bien;1
bd626d9c-4f71-45a8-a0ab-773cb456ba80;no entiendo mucho las raices;1
d67b6ea0-e3e5-4f9a-a815-878df3e38d2d;Hola tengo una duda que pasa si no paso este ramo es que no entiendo mucho de tecnología;1
e86185f7-b04f-45c2-9b18-a6ed105f91ac;no entiendo;1
ecb21f3a-039e-4d8d-a267-1906d07c7acb;tengo dudas con las unidades que evaluaran en las pruebas;1
15994b62-69b1-45e5-bb8e-b96158fce962;al comienzo del bimestre se explico como configurar tomcat para integrarlo en netbeans. No recuerdo en que semana esta pero necesito esa informacion;1
bb01424b-f4d9-42a5-b657-9602c28f178e;no recuerdo mi clave   para  mi correo   gquijadac@alumno.iplacex.cl;1
f3dbdfa4-9048-4cfe-ab5c-b4753e87b805;tengo dudas con las evaluaciones;1
a31db1b5-6f76-4f3d-8dc7-7a87622b4932;no entiendo la materia de algebra;1
1b9c9c4d-c226-4b4c-a599-3ecf27edd66f;Hola no sé cómo descargar el programa automation studio hay algún forma de ver cómo poder hacerlo;1
69c79c13-b5ca-4d8b-b12d-6537ef2c46fe;No entiendo lo que se tiene que hacer en la evaluación número 2 de metrología manuales y planos;1
81435a24-b7a3-4ac0-8066-fc01e0f33662;buenas no epodido realizar la prueba no entiendo;1
a7e4b118-9436-4773-9563-f7189f50f3bf;hola buenas tardes, estoy confundido con los horarios de conexion ya que me encuentro trabajando en el extranjero;1
f3dffd4e-10be-40bd-826f-03fef1d21cad;no comprendo cual es la prueba 2;1
