ESCUELA;Average Messages;Max Messages;Number of chats;
ESCUELA DE GASTRONOMÍA;4,26;14;27;
ESCUELA DE SALUD;3,86;15;111;
ESCUELA DE CONSTRUCCIÓN;3,81;36;158;
ESCUELA DE ADMINISTRACIÓN Y NEGOCIOS;3,55;50;155;
ESCUELA DE INFORMÁTICA Y TELECOMUNICACIONES;3,45;24;221;
ESCUELA DE TECNOLOGÍA;3,13;15;310;
ESCUELA DE DESARROLLO SOCIAL Y SERVICIO PÚBLICO;3,12;28;155;
ESCUELA DE EDUCACIÓN;3,04;20;294;
;;;;
;;;;
Ciencias de la Salud;4,06;;138;
Ingeniería y Tecnología;3,46;;689;
Ciencias Sociales y Humanidades;3,08;;449;
Negocios y Administración;3,55;;155;
